title,type,episodes,score,scored_by,rank,popularity,members,favorites,season,year,producers,licensors,studios,genres,explicit_genres,themes,demographics
Cowboy Bebop,TV,26,8.75,1023989,47,42,1983687,86885,spring,1998,"Bandai Visual, Victor Entertainment, Audio Planning U",Funimation,Sunrise,"Action, Award Winning, Sci-Fi",,"Adult Cast, Space",
Cowboy Bebop: Tengoku no Tobira,Movie,1,8.38,226048,217,643,399427,1718,,,"Sunrise, Bandai Visual","Sony Pictures Entertainment, Funimation",Bones,"Action, Sci-Fi",,"Adult Cast, Space",
Trigun,TV,26,8.22,390164,387,261,806006,16931,spring,1998,Victor Entertainment,Funimation,Madhouse,"Action, Adventure, Sci-Fi",,Adult Cast,Shounen
Witch Hunter Robin,TV,26,7.23,45450,3287,1965,123980,675,summer,2002,"Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,"Action, Drama, Mystery, Supernatural",,Detective,
Bouken Ou Beet,TV,52,6.92,6970,4833,5690,16333,16,fall,2004,"TV Tokyo, Dentsu",Illumitoon Entertainment,Toei Animation,"Action, Adventure, Fantasy",,,Shounen
Eyeshield 21,TV,145,7.91,92024,830,1366,192168,2080,spring,2005,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha","VIZ Media, Sentai Filmworks",Gallop,Sports,,Team Sports,Shounen
Hachimitsu to Clover,TV,24,7.98,85832,709,945,279505,4187,spring,2005,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha","VIZ Media, Discotek Media",J.C.Staff,"Comedy, Drama, Romance",,"Adult Cast, Love Polygon, Visual Arts",Josei
Hungry Heart: Wild Striker,TV,52,7.54,13967,1885,4710,26277,244,fall,2002,,,Nippon Animation,Sports,,Team Sports,Shounen
Initial D Fourth Stage,TV,24,8.17,114504,464,1283,205667,1388,spring,2004,OB Planning,Funimation,A.C.G.T.,"Action, Drama",,Racing,Seinen
Monster,TV,74,8.89,474803,24,121,1247385,58374,spring,2004,"VAP, Nippon Television Network",VIZ Media,Madhouse,"Drama, Mystery, Suspense",,"Adult Cast, Psychological",Seinen
Naruto,TV,220,8.01,2072716,677,9,3011075,83676,fall,2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Pierrot,"Action, Adventure, Fantasy",,Martial Arts,Shounen
One Piece,TV,,8.73,1452168,53,17,2553465,240193,fall,1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,"Action, Adventure, Fantasy",,,Shounen
Tennis no Oujisama,TV,178,7.85,87247,962,1353,193666,3053,fall,2001,"Production I.G, TV Tokyo, Nihon Ad Systems","Funimation, VIZ Media",Trans Arts,Sports,,School,Shounen
Ring ni Kakero 1,TV,12,6.35,1811,8144,8855,5457,3,fall,2004,,,Toei Animation,Sports,,Combat Sports,Shounen
School Rumble,TV,26,7.88,153014,897,771,339449,5322,fall,2004,"TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Media Factory, DAX Production",Funimation,Studio Comet,"Comedy, Romance",,"Gag Humor, Love Polygon, School",Shounen
Sunabouzu,TV,24,7.36,57136,2583,1700,147370,865,fall,2004,"GDH, Pony Canyon, CBC Television, Omnibus Promotion, RKB Mainichi Broadcasting Corporation",Funimation,Gonzo,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,,Seinen
Texhnolyze,TV,22,7.75,61063,1187,969,273890,5421,spring,2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC, Rakuonsha, Geneon Entertainment USA",Funimation,Madhouse,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",,"Adult Cast, Organized Crime, Psychological",
Trinity Blood,TV,24,7.28,82480,3021,1354,193645,1381,spring,2005,,Funimation,Gonzo,"Action, Fantasy, Sci-Fi",,Vampire,
